,mean_diff,studentized,p_lower,p_consistent,p_upper
pathsig_ext::PathSigX_ret_L2_w60_complete,-2.758882577377313e-05,-0.4432339796814198,0.8144,0.5828,0.7716
pathsig_ext::PathSigX_ret_L2_w90_single,-6.190186238110223e-05,-1.088494194341477,0.8144,0.5828,0.7716
pathsig_ext::PathSigX_ret_L2_w90_average,-7.658587003115953e-05,-1.2767011149881071,0.8144,0.5828,0.7716
pathsig_ext::PathSigX_ret_L2_w90_complete,-0.0001047025974983767,-1.6281525134291401,0.8144,0.5828,0.7716
pathsig_ext::PathSigX_ret_L3_w60_single,-7.251008579997881e-05,-1.2180392242940716,0.8144,0.5828,0.7716
pathsig_ext::PathSigX_ret_L3_w60_average,-6.352985301510048e-05,-1.0149957913117666,0.8144,0.5828,0.7716
pathsig_ext::PathSigX_ret_L3_w60_complete,-6.776357445450353e-05,-1.155752495156658,0.8144,0.5828,0.7716
pathsig_ext::PathSigX_ret_L3_w90_single,-6.0654010690242e-05,-1.0528180917129593,0.8144,0.5828,0.7716
pathsig_ext::PathSigX_ret_L3_w90_average,-7.925445533422395e-05,-1.2496118896071182,0.8144,0.5828,0.7716
pathsig_ext::PathSigX_ret_L3_w90_complete,-3.860001264855826e-05,-0.6465446382792046,0.8144,0.5828,0.7716
